,precision,recall,f1-score,support
Potato___Early_blight,0.9867549668874173,0.9933333333333333,0.9900332225913622,150.0
Potato___Late_blight,0.9673202614379085,0.9866666666666667,0.976897689768977,150.0
Potato___healthy,1.0,0.8333333333333334,0.9090909090909091,24.0
accuracy,0.9783950617283951,0.9783950617283951,0.9783950617283951,0.9783950617283951
macro avg,0.9846917427751086,0.9377777777777778,0.9586739404837493,324.0
weighted avg,0.9787385316320951,0.9783950617283951,0.9779562304698539,324.0
